"quarter","group","metric","segment","year","category","value"
4,"deer-bow","participants","county",2015,"Boone",664
4,"deer-bow","participants","county",2015,"Bremer",859
4,"deer-bow","participants","county",2015,"Buchanan",927
4,"deer-bow","participants","county",2015,"Buena Vista",347
4,"deer-bow","participants","county",2015,"Butler",664
4,"deer-bow","participants","county",2015,"Calhoun",200
4,"deer-bow","participants","county",2015,"Carroll",505
4,"deer-bow","participants","county",2015,"Cass",364
4,"deer-bow","participants","county",2015,"Cedar",539
4,"deer-bow","participants","county",2015,"Cerro Gordo",875
4,"deer-bow","participants","county",2015,"Cherokee",288
4,"deer-bow","participants","county",2015,"Chickasaw",548
4,"deer-bow","participants","county",2015,"Clarke",349
4,"deer-bow","participants","county",2015,"Clay",358
4,"deer-bow","participants","county",2015,"Clayton",991
4,"deer-bow","participants","county",2015,"Clinton",993
4,"deer-bow","participants","county",2015,"Crawford",218
4,"deer-bow","participants","county",2015,"Dallas",1290
4,"deer-bow","participants","county",2015,"Davis",486
4,"deer-bow","participants","county",2015,"Decatur",345
4,"deer-bow","participants","county",2015,"Delaware",655
4,"deer-bow","participants","county",2015,"Des Moines",704
4,"deer-bow","participants","county",2015,"Dickinson",429
4,"deer-bow","participants","county",2015,"Dubuque",2266
4,"deer-bow","participants","county",2015,"Emmet",202
4,"deer-bow","participants","county",2015,"Fayette",641
4,"deer-bow","participants","county",2015,"Floyd",542
4,"deer-bow","participants","county",2015,"Franklin",188
4,"deer-bow","participants","county",2015,"Fremont",229
4,"deer-bow","participants","county",2015,"Greene",258
4,"deer-bow","participants","county",2015,"Grundy",310
4,"deer-bow","participants","county",2015,"Guthrie",427
4,"deer-bow","participants","county",2015,"Hamilton",358
4,"deer-bow","participants","county",2015,"Hancock",205
4,"deer-bow","participants","county",2015,"Hardin",464
4,"deer-bow","participants","county",2015,"Harrison",489
4,"deer-bow","participants","county",2015,"Henry",580
4,"deer-bow","participants","county",2015,"Howard",493
4,"deer-bow","participants","county",2015,"Humboldt",230
4,"deer-bow","participants","county",2015,"Ida",167
4,"deer-bow","participants","county",2015,"Iowa",672
4,"deer-bow","participants","county",2015,"Jackson",762
4,"deer-bow","participants","county",2015,"Jasper",843
4,"deer-bow","participants","county",2015,"Jefferson",311
4,"deer-bow","participants","county",2015,"Johnson",1552
4,"deer-bow","participants","county",2015,"Jones",636
4,"deer-bow","participants","county",2015,"Keokuk",376
4,"deer-bow","participants","county",2015,"Kossuth",327
4,"deer-bow","participants","county",2015,"Lee",853
4,"deer-bow","participants","county",2015,"Linn",2937
4,"deer-bow","participants","county",2015,"Louisa",444
4,"deer-bow","participants","county",2015,"Lucas",429
4,"deer-bow","participants","county",2015,"Lyon",241
4,"deer-bow","participants","county",2015,"Madison",762
4,"deer-bow","participants","county",2015,"Mahaska",576
4,"deer-bow","participants","county",2015,"Marion",1131
4,"deer-bow","participants","county",2015,"Marshall",546
4,"deer-bow","participants","county",2015,"Mills",437
4,"deer-bow","participants","county",2015,"Mitchell",341
4,"deer-bow","participants","county",2015,"Monona",288
4,"deer-bow","participants","county",2015,"Monroe",399
4,"deer-bow","participants","county",2015,"Montgomery",277
4,"deer-bow","participants","county",2015,"Muscatine",970
4,"deer-bow","participants","county",2015,"O'Brien",340
4,"deer-bow","participants","county",2015,"Osceola",150
4,"deer-bow","participants","county",2015,"Page",400
4,"deer-bow","participants","county",2015,"Palo Alto",230
4,"deer-bow","participants","county",2015,"Plymouth",409
4,"deer-bow","participants","county",2015,"Pocahontas",120
4,"deer-bow","participants","county",2015,"Polk",5250
4,"deer-bow","participants","county",2015,"Pottawattamie",1242
4,"deer-bow","participants","county",2015,"Poweshiek",487
4,"deer-bow","participants","county",2015,"Ringgold",200
4,"deer-bow","participants","county",2015,"Sac",327
4,"deer-bow","participants","county",2015,"Scott",2103
4,"deer-bow","participants","county",2015,"Shelby",221
4,"deer-bow","participants","county",2015,"Sioux",603
4,"deer-bow","participants","county",2015,"Story",1077
4,"deer-bow","participants","county",2015,"Tama",607
4,"deer-bow","participants","county",2015,"Taylor",264
4,"deer-bow","participants","county",2015,"Union",439
4,"deer-bow","participants","county",2015,"Van Buren",517
4,"deer-bow","participants","county",2015,"Wapello",857
4,"deer-bow","participants","county",2015,"Warren",1892
4,"deer-bow","participants","county",2015,"Washington",759
4,"deer-bow","participants","county",2015,"Wayne",430
4,"deer-bow","participants","county",2015,"Webster",634
4,"deer-bow","participants","county",2015,"Winnebago",317
4,"deer-bow","participants","county",2015,"Winneshiek",731
4,"deer-bow","participants","county",2015,"Woodbury",1251
4,"deer-bow","participants","county",2015,"Worth",228
4,"deer-bow","participants","county",2015,"Wright",275
4,"deer-bow","participants","county",2016,"Adair",236
4,"deer-bow","participants","county",2016,"Adams",146
4,"deer-bow","participants","county",2016,"Allamakee",782
4,"deer-bow","participants","county",2016,"Appanoose",554
4,"deer-bow","participants","county",2016,"Audubon",122
4,"deer-bow","participants","county",2016,"Benton",851
4,"deer-bow","participants","county",2016,"Black Hawk",1955
4,"deer-bow","participants","county",2016,"Boone",646
4,"deer-bow","participants","county",2016,"Bremer",868
4,"deer-bow","participants","county",2016,"Buchanan",952
4,"deer-bow","participants","county",2016,"Buena Vista",333
4,"deer-bow","participants","county",2016,"Butler",679
4,"deer-bow","participants","county",2016,"Calhoun",185
4,"deer-bow","participants","county",2016,"Carroll",489
4,"deer-bow","participants","county",2016,"Cass",370
4,"deer-bow","participants","county",2016,"Cedar",554
4,"deer-bow","participants","county",2016,"Cerro Gordo",842
4,"deer-bow","participants","county",2016,"Cherokee",284
4,"deer-bow","participants","county",2016,"Chickasaw",552
4,"deer-bow","participants","county",2016,"Clarke",361
4,"deer-bow","participants","county",2016,"Clay",326
4,"deer-bow","participants","county",2016,"Clayton",1025
4,"deer-bow","participants","county",2016,"Clinton",1008
4,"deer-bow","participants","county",2016,"Crawford",213
4,"deer-bow","participants","county",2016,"Dallas",1302
4,"deer-bow","participants","county",2016,"Davis",525
4,"deer-bow","participants","county",2016,"Decatur",361
4,"deer-bow","participants","county",2016,"Delaware",682
4,"deer-bow","participants","county",2016,"Des Moines",688
4,"deer-bow","participants","county",2016,"Dickinson",438
4,"deer-bow","participants","county",2016,"Dubuque",2306
4,"deer-bow","participants","county",2016,"Emmet",204
4,"deer-bow","participants","county",2016,"Fayette",660
4,"deer-bow","participants","county",2016,"Floyd",558
4,"deer-bow","participants","county",2016,"Franklin",209
4,"deer-bow","participants","county",2016,"Fremont",233
4,"deer-bow","participants","county",2016,"Greene",248
4,"deer-bow","participants","county",2016,"Grundy",315
4,"deer-bow","participants","county",2016,"Guthrie",426
4,"deer-bow","participants","county",2016,"Hamilton",344
4,"deer-bow","participants","county",2016,"Hancock",204
4,"deer-bow","participants","county",2016,"Hardin",462
4,"deer-bow","participants","county",2016,"Harrison",488
4,"deer-bow","participants","county",2016,"Henry",590
4,"deer-bow","participants","county",2016,"Howard",470
4,"deer-bow","participants","county",2016,"Humboldt",229
4,"deer-bow","participants","county",2016,"Ida",178
4,"deer-bow","participants","county",2016,"Iowa",700
4,"deer-bow","participants","county",2016,"Jackson",774
4,"deer-bow","participants","county",2016,"Jasper",862
4,"deer-bow","participants","county",2016,"Jefferson",318
4,"deer-bow","participants","county",2016,"Johnson",1606
4,"deer-bow","participants","county",2016,"Jones",636
4,"deer-bow","participants","county",2016,"Keokuk",377
4,"deer-bow","participants","county",2016,"Kossuth",329
4,"deer-bow","participants","county",2016,"Lee",890
4,"deer-bow","participants","county",2016,"Linn",2952
4,"deer-bow","participants","county",2016,"Louisa",457
4,"deer-bow","participants","county",2016,"Lucas",436
4,"deer-bow","participants","county",2016,"Lyon",252
4,"deer-bow","participants","county",2016,"Madison",777
4,"deer-bow","participants","county",2016,"Mahaska",599
4,"deer-bow","participants","county",2016,"Marion",1192
4,"deer-bow","participants","county",2016,"Marshall",550
4,"deer-bow","participants","county",2016,"Mills",435
4,"deer-bow","participants","county",2016,"Mitchell",352
4,"deer-bow","participants","county",2016,"Monona",282
4,"deer-bow","participants","county",2016,"Monroe",387
4,"deer-bow","participants","county",2016,"Montgomery",270
4,"deer-bow","participants","county",2016,"Muscatine",980
4,"deer-bow","participants","county",2016,"O'Brien",345
4,"deer-bow","participants","county",2016,"Osceola",155
4,"deer-bow","participants","county",2016,"Page",393
4,"deer-bow","participants","county",2016,"Palo Alto",233
4,"deer-bow","participants","county",2016,"Plymouth",405
4,"deer-bow","participants","county",2016,"Pocahontas",113
4,"deer-bow","participants","county",2016,"Polk",5256
4,"deer-bow","participants","county",2016,"Pottawattamie",1296
4,"deer-bow","participants","county",2016,"Poweshiek",510
4,"deer-bow","participants","county",2016,"Ringgold",191
4,"deer-bow","participants","county",2016,"Sac",317
4,"deer-bow","participants","county",2016,"Scott",2170
4,"deer-bow","participants","county",2016,"Shelby",243
4,"deer-bow","participants","county",2016,"Sioux",610
4,"deer-bow","participants","county",2016,"Story",1112
4,"deer-bow","participants","county",2016,"Tama",618
4,"deer-bow","participants","county",2016,"Taylor",261
4,"deer-bow","participants","county",2016,"Union",446
4,"deer-bow","participants","county",2016,"Van Buren",523
4,"deer-bow","participants","county",2016,"Wapello",875
4,"deer-bow","participants","county",2016,"Warren",1860
4,"deer-bow","participants","county",2016,"Washington",764
4,"deer-bow","participants","county",2016,"Wayne",435
4,"deer-bow","participants","county",2016,"Webster",653
4,"deer-bow","participants","county",2016,"Winnebago",341
4,"deer-bow","participants","county",2016,"Winneshiek",730
4,"deer-bow","participants","county",2016,"Woodbury",1248
4,"deer-bow","participants","county",2016,"Worth",239
4,"deer-bow","participants","county",2016,"Wright",259
4,"deer-bow","participation rate","gender",2006,"Male",0.200620728135026
4,"deer-bow","participation rate","gender",2006,"Female",0.123073599308656
4,"deer-bow","participation rate","gender",2007,"Male",0.208193601722013
4,"deer-bow","participation rate","gender",2007,"Female",0.13359127682026
4,"deer-bow","participation rate","gender",2008,"Male",0.220680404828679
4,"deer-bow","participation rate","gender",2008,"Female",0.145417342834968
4,"deer-bow","participation rate","gender",2009,"Male",0.239036110166039
4,"deer-bow","participation rate","gender",2009,"Female",0.161046873918161
4,"deer-bow","participation rate","gender",2010,"Male",0.249729758232487
4,"deer-bow","participation rate","gender",2010,"Female",0.172490175062522
4,"deer-bow","participation rate","gender",2011,"Male",0.258405637485338
4,"deer-bow","participation rate","gender",2011,"Female",0.183916706623741
4,"deer-bow","participation rate","gender",2012,"Male",0.266960360177977
4,"deer-bow","participation rate","gender",2012,"Female",0.188387254005971
4,"deer-bow","participation rate","gender",2013,"Male",0.265551700331038
4,"deer-bow","participation rate","gender",2013,"Female",0.18904347826087
4,"deer-bow","participation rate","gender",2014,"Male",0.264757256725772
4,"deer-bow","participation rate","gender",2014,"Female",0.194417501885979
4,"deer-bow","participation rate","gender",2015,"Male",0.269928818038447
4,"deer-bow","participation rate","gender",2015,"Female",0.203773004562465
4,"deer-bow","participation rate","gender",2016,"Male",0.273401311921156
4,"deer-bow","participation rate","gender",2016,"Female",0.207323778047168
4,"deer-bow","participation rate","age",2006,"0-17",0.145278816022955
4,"deer-bow","participation rate","age",2006,"18-24",0.207914129008378
4,"deer-bow","participation rate","age",2006,"25-34",0.254585017096674
4,"deer-bow","participation rate","age",2006,"35-44",0.234618511407469
4,"deer-bow","participation rate","age",2006,"45-54",0.186642623613873
4,"deer-bow","participation rate","age",2006,"55-64",0.152870192849893
4,"deer-bow","participation rate","age",2006,"65+",0.106699066659303
4,"deer-bow","participation rate","age",2007,"0-17",0.143552858320222
4,"deer-bow","participation rate","age",2007,"18-24",0.215873661379965
4,"deer-bow","participation rate","age",2007,"25-34",0.261793930713454
4,"deer-bow","participation rate","age",2007,"35-44",0.245818301082322
4,"deer-bow","participation rate","age",2007,"45-54",0.198129827889958
4,"deer-bow","participation rate","age",2007,"55-64",0.162008111366875
4,"deer-bow","participation rate","age",2007,"65+",0.118242371043528
4,"deer-bow","participation rate","age",2008,"0-17",0.148475717136931
4,"deer-bow","participation rate","age",2008,"18-24",0.230240912933221
4,"deer-bow","participation rate","age",2008,"25-34",0.281493611328936
4,"deer-bow","participation rate","age",2008,"35-44",0.259015030000594
4,"deer-bow","participation rate","age",2008,"45-54",0.209867753590944
4,"deer-bow","participation rate","age",2008,"55-64",0.177688022284123
4,"deer-bow","participation rate","age",2008,"65+",0.126439610197854
4,"deer-bow","participation rate","age",2009,"0-17",0.151387720773759
4,"deer-bow","participation rate","age",2009,"18-24",0.255149795482183
4,"deer-bow","participation rate","age",2009,"25-34",0.300042822477042
4,"deer-bow","participation rate","age",2009,"35-44",0.285150862068966
4,"deer-bow","participation rate","age",2009,"45-54",0.233985202810722
4,"deer-bow","participation rate","age",2009,"55-64",0.193647653588306
4,"deer-bow","participation rate","age",2009,"65+",0.140110142267095
4,"deer-bow","participation rate","age",2010,"0-17",0.156024197613846
4,"deer-bow","participation rate","age",2010,"18-24",0.271445031586475
4,"deer-bow","participation rate","age",2010,"25-34",0.312924488108067
4,"deer-bow","participation rate","age",2010,"35-44",0.296929045526783
4,"deer-bow","participation rate","age",2010,"45-54",0.249847221400832
4,"deer-bow","participation rate","age",2010,"55-64",0.207466256150865
4,"deer-bow","participation rate","age",2010,"65+",0.144191553742929
4,"deer-bow","participation rate","age",2011,"0-17",0.160958469158799
4,"deer-bow","participation rate","age",2011,"18-24",0.281147441351647
4,"deer-bow","participation rate","age",2011,"25-34",0.320881984721122
4,"deer-bow","participation rate","age",2011,"35-44",0.306095242797541
4,"deer-bow","participation rate","age",2011,"45-54",0.26342175011814
4,"deer-bow","participation rate","age",2011,"55-64",0.22443508234393
4,"deer-bow","participation rate","age",2011,"65+",0.148418589640148
4,"deer-bow","participation rate","age",2012,"0-17",0.166037888929455
4,"deer-bow","participation rate","age",2012,"18-24",0.293388592855733
4,"deer-bow","participation rate","age",2012,"25-34",0.327683190196374
4,"deer-bow","participation rate","age",2012,"35-44",0.316722175274643
4,"deer-bow","participation rate","age",2012,"45-54",0.273175912043978
4,"deer-bow","participation rate","age",2012,"55-64",0.236789723718782
4,"deer-bow","participation rate","age",2012,"65+",0.157481444297035
4,"deer-bow","participation rate","age",2013,"0-17",0.161013851090621
4,"deer-bow","participation rate","age",2013,"18-24",0.291176699633985
4,"deer-bow","participation rate","age",2013,"25-34",0.322320245920076
4,"deer-bow","participation rate","age",2013,"35-44",0.314392580826971
4,"deer-bow","participation rate","age",2013,"45-54",0.277930343053921
4,"deer-bow","participation rate","age",2013,"55-64",0.241338112305854
4,"deer-bow","participation rate","age",2013,"65+",0.158721256309591
4,"deer-bow","participation rate","age",2014,"0-17",0.15900944933203
4,"deer-bow","participation rate","age",2014,"18-24",0.287644640682095
4,"deer-bow","participation rate","age",2014,"25-34",0.315867643836284
4,"deer-bow","participation rate","age",2014,"35-44",0.31358983591379
4,"deer-bow","participation rate","age",2014,"45-54",0.280628502362378
4,"deer-bow","participation rate","age",2014,"55-64",0.249061805927855
4,"deer-bow","participation rate","age",2014,"65+",0.163769144343918
4,"deer-bow","participation rate","age",2015,"0-17",0.167612577157297
4,"deer-bow","participation rate","age",2015,"18-24",0.303133750143838
4,"deer-bow","participation rate","age",2015,"25-34",0.318711627014582
4,"deer-bow","participation rate","age",2015,"35-44",0.32004132231405
4,"deer-bow","participation rate","age",2015,"45-54",0.286433825965935
4,"deer-bow","participation rate","age",2015,"55-64",0.253321006277067
4,"deer-bow","participation rate","age",2015,"65+",0.169575992672809
4,"deer-bow","participation rate","age",2016,"0-17",0.169300522736479
4,"deer-bow","participation rate","age",2016,"18-24",0.308323144702049
4,"deer-bow","participation rate","age",2016,"25-34",0.323449631614943
4,"deer-bow","participation rate","age",2016,"35-44",0.323005150035286
4,"deer-bow","participation rate","age",2016,"45-54",0.292796097485076
4,"deer-bow","participation rate","age",2016,"55-64",0.260569975196938
4,"deer-bow","participation rate","age",2016,"65+",0.174467175545242
4,"deer-bow","participation rate","Residency",2006,"Resident",0.222479281920413
4,"deer-bow","participation rate","Residency",2006,"Nonresident",0.0680783692855729
4,"deer-bow","participation rate","Residency",2007,"Resident",0.228966306476815
4,"deer-bow","participation rate","Residency",2007,"Nonresident",0.0752116694275723
4,"deer-bow","participation rate","Residency",2008,"Resident",0.241818206195058
4,"deer-bow","participation rate","Residency",2008,"Nonresident",0.0616288003512238
4,"deer-bow","participation rate","Residency",2009,"Resident",0.257177568320695
4,"deer-bow","participation rate","Residency",2009,"Nonresident",0.0736632262628211
4,"deer-bow","participation rate","Residency",2010,"Resident",0.263925717146619
4,"deer-bow","participation rate","Residency",2010,"Nonresident",0.0894673732255444
4,"deer-bow","participation rate","Residency",2011,"Resident",0.270015494065261
4,"deer-bow","participation rate","Residency",2011,"Nonresident",0.102907986111111
4,"deer-bow","participation rate","Residency",2012,"Resident",0.278371522057789
4,"deer-bow","participation rate","Residency",2012,"Nonresident",0.103560843606374
4,"deer-bow","participation rate","Residency",2013,"Resident",0.275409108609619
4,"deer-bow","participation rate","Residency",2013,"Nonresident",0.109168157423971
4,"deer-bow","participation rate","Residency",2014,"Resident",0.275379007648802
4,"deer-bow","participation rate","Residency",2014,"Nonresident",0.107075953678474
4,"deer-bow","participation rate","Residency",2015,"Resident",0.283996437705918
4,"deer-bow","participation rate","Residency",2015,"Nonresident",0.098112630855047
4,"deer-bow","participation rate","Residency",2016,"Resident",0.286511420281229
4,"deer-bow","participation rate","Residency",2016,"Nonresident",0.103811394891945
4,"deer-bow","participation rate","county",2015,"Adair",0.242819688807178
4,"deer-bow","participation rate","county",2015,"Adams",0.233519700725856
4,"deer-bow","participation rate","county",2015,"Allamakee",0.275092880867262
4,"deer-bow","participation rate","county",2015,"Appanoose",0.32284360371739
4,"deer-bow","participation rate","county",2015,"Audubon",0.194091239873039
4,"deer-bow","participation rate","county",2015,"Benton",0.28318109518745
4,"deer-bow","participation rate","county",2015,"Black Hawk",0.330742783383258
4,"deer-bow","participation rate","county",2015,"Boone",0.294020584372136
4,"deer-bow","participation rate","county",2015,"Bremer",0.290398442646021
4,"deer-bow","participation rate","county",2015,"Buchanan",0.327408924540806
4,"deer-bow","participation rate","county",2015,"Buena Vista",0.234304646865762
4,"deer-bow","participation rate","county",2015,"Butler",0.270749167906937
4,"deer-bow","participation rate","county",2015,"Calhoun",0.212587634528714
4,"deer-bow","participation rate","county",2015,"Carroll",0.239898195278127
4,"deer-bow","participation rate","county",2015,"Cass",0.236813635487466
4,"deer-bow","participation rate","county",2015,"Cedar",0.315726636935894
4,"deer-bow","participation rate","county",2015,"Cerro Gordo",0.293357495932537
4,"deer-bow","participation rate","county",2015,"Cherokee",0.23902660275923
4,"deer-bow","participation rate","county",2015,"Chickasaw",0.298034286224502
4,"deer-bow","participation rate","county",2015,"Clarke",0.331474064783173
4,"deer-bow","participation rate","county",2015,"Clay",0.246668821805241
4,"deer-bow","participation rate","county",2015,"Clayton",0.273442136608698
4,"deer-bow","participation rate","county",2015,"Clinton",0.288722177750174
4,"deer-bow","participation rate","county",2015,"Crawford",0.191023286752905
4,"deer-bow","participation rate","county",2015,"Dallas",0.333308763776714
4,"deer-bow","participation rate","county",2015,"Davis",0.319002958728702
4,"deer-bow","participation rate","county",2015,"Decatur",0.311204572917901
4,"deer-bow","participation rate","county",2015,"Delaware",0.295086959545921
4,"deer-bow","participation rate","county",2015,"Des Moines",0.262282073503132
4,"deer-bow","participation rate","county",2015,"Dickinson",0.22030594083631
4,"deer-bow","participation rate","county",2015,"Dubuque",0.283328152415436
4,"deer-bow","participation rate","county",2015,"Emmet",0.208543732734553
4,"deer-bow","participation rate","county",2015,"Fayette",0.268453967881408
4,"deer-bow","participation rate","county",2015,"Floyd",0.306850167881088
4,"deer-bow","participation rate","county",2015,"Franklin",0.230297198461888
4,"deer-bow","participation rate","county",2015,"Fremont",0.270200686926575
4,"deer-bow","participation rate","county",2015,"Greene",0.292757021258203
4,"deer-bow","participation rate","county",2015,"Grundy",0.258585034456287
4,"deer-bow","participation rate","county",2015,"Guthrie",0.268102588342296
4,"deer-bow","participation rate","county",2015,"Hamilton",0.251732404657548
4,"deer-bow","participation rate","county",2015,"Hancock",0.210603452019992
4,"deer-bow","participation rate","county",2015,"Hardin",0.267969789265304
4,"deer-bow","participation rate","county",2015,"Harrison",0.29168649185211
4,"deer-bow","participation rate","county",2015,"Henry",0.280155933149235
4,"deer-bow","participation rate","county",2015,"Howard",0.293350177186918
4,"deer-bow","participation rate","county",2015,"Humboldt",0.229856955419956
4,"deer-bow","participation rate","county",2015,"Ida",0.247379682963182
4,"deer-bow","participation rate","county",2015,"Iowa",0.292143625594614
4,"deer-bow","participation rate","county",2015,"Jackson",0.251295534792606
4,"deer-bow","participation rate","county",2015,"Jasper",0.261903109046975
4,"deer-bow","participation rate","county",2015,"Jefferson",0.27052237809961
