"","region","state","timeframe","group","metric","segment","year","category","value","aggregation","states_included"
"29","Southeast","FL","full-year","fish","churn","age",2015,"18-24",0.66296000885,"NONE",NA
"30","Southeast","FL","full-year","fish","churn","age",2016,"18-24",0.66362593888,"NONE",NA
"31","Southeast","FL","full-year","fish","churn","age",2017,"18-24",0.65156776186,"NONE",NA
"32","Southeast","FL","full-year","fish","churn","age",2018,"18-24",0.64674774939,"NONE",NA
"33","Southeast","FL","full-year","fish","participants","age",2010,"18-24",130568.866247528,"NONE",NA
"34","Southeast","FL","full-year","fish","participants","age",2011,"18-24",149937.805757615,"NONE",NA
"35","Southeast","FL","full-year","fish","participants","age",2012,"18-24",154243.060165424,"NONE",NA
"36","Southeast","FL","full-year","fish","participants","age",2013,"18-24",172737.050023559,"NONE",NA
"37","Southeast","FL","full-year","fish","participants","age",2014,"18-24",178492.476507242,"NONE",NA
"38","Southeast","FL","full-year","fish","participants","age",2015,"18-24",181781.148601086,"NONE",NA
"39","Southeast","FL","full-year","fish","participants","age",2016,"18-24",179857.750343978,"NONE",NA
"40","Southeast","FL","full-year","fish","participants","age",2017,"18-24",177505.54458347,"NONE",NA
"41","Southeast","FL","full-year","fish","participants","age",2018,"18-24",170398.333197661,"NONE",NA
"42","Southeast","FL","full-year","fish","participants - recruited","age",2014,"18-24",88126.1088831212,"NONE",NA
"43","Southeast","FL","full-year","fish","participants - recruited","age",2015,"18-24",86347.3579349904,"NONE",NA
"44","Southeast","FL","full-year","fish","participants - recruited","age",2016,"18-24",83302.1454012068,"NONE",NA
"45","Southeast","FL","full-year","fish","participants - recruited","age",2017,"18-24",79791.1872383523,"NONE",NA
"46","Southeast","FL","full-year","fish","participants - recruited","age",2018,"18-24",75118.9906509628,"NONE",NA
"47","Southeast","FL","full-year","hunt","churn","age",2010,"18-24",0.4562150056,"NONE",NA
"48","Southeast","FL","full-year","hunt","churn","age",2011,"18-24",0.48308396606,"NONE",NA
"49","Southeast","FL","full-year","hunt","churn","age",2012,"18-24",0.47930009149,"NONE",NA
"50","Southeast","FL","full-year","hunt","churn","age",2013,"18-24",0.46714371552,"NONE",NA
"51","Southeast","FL","full-year","hunt","churn","age",2014,"18-24",0.47628074026,"NONE",NA
"52","Southeast","FL","full-year","hunt","churn","age",2015,"18-24",0.434202403,"NONE",NA
"53","Southeast","FL","full-year","hunt","churn","age",2016,"18-24",0.39468828899,"NONE",NA
"54","Southeast","FL","full-year","hunt","churn","age",2017,"18-24",0.38021577418,"NONE",NA
"55","Southeast","FL","full-year","hunt","churn","age",2018,"18-24",0.37430309174,"NONE",NA
"56","Southeast","FL","full-year","hunt","participants","age",2010,"18-24",18466.8004140632,"NONE",NA
"57","Southeast","FL","full-year","hunt","participants","age",2011,"18-24",18104.2186172559,"NONE",NA
"58","Southeast","FL","full-year","hunt","participants","age",2012,"18-24",18959.3291510246,"NONE",NA
"59","Southeast","FL","full-year","hunt","participants","age",2013,"18-24",20763.9982809933,"NONE",NA
"60","Southeast","FL","full-year","hunt","participants","age",2014,"18-24",21849.3432640452,"NONE",NA
"61","Southeast","FL","full-year","hunt","participants","age",2015,"18-24",21632.6738438066,"NONE",NA
"62","Southeast","FL","full-year","hunt","participants","age",2016,"18-24",21525.1198125087,"NONE",NA
"63","Southeast","FL","full-year","hunt","participants","age",2017,"18-24",20735.3872186251,"NONE",NA
"64","Southeast","FL","full-year","hunt","participants","age",2018,"18-24",20079.5202217906,"NONE",NA
"65","Southeast","FL","full-year","hunt","participants - recruited","age",2014,"18-24",8390.16436133027,"NONE",NA
"66","Southeast","FL","full-year","hunt","participants - recruited","age",2015,"18-24",6805.19831475134,"NONE",NA
"67","Southeast","FL","full-year","hunt","participants - recruited","age",2016,"18-24",6215.1847075292,"NONE",NA
"68","Southeast","FL","full-year","hunt","participants - recruited","age",2017,"18-24",5843.49189215354,"NONE",NA
"69","Southeast","FL","full-year","hunt","participants - recruited","age",2018,"18-24",5825.01809083911,"NONE",NA
"70","Southeast","FL","full-year","all_sports","churn","age",2010,"25-34",0.58735049021,"NONE",NA
"71","Southeast","FL","full-year","all_sports","churn","age",2011,"25-34",0.59406806338,"NONE",NA
"72","Southeast","FL","full-year","all_sports","churn","age",2012,"25-34",0.60531230055,"NONE",NA
"73","Southeast","FL","full-year","all_sports","churn","age",2013,"25-34",0.59120212655,"NONE",NA
"74","Southeast","FL","full-year","all_sports","churn","age",2014,"25-34",0.60457838916,"NONE",NA
"75","Southeast","FL","full-year","all_sports","churn","age",2015,"25-34",0.59833932168,"NONE",NA
"76","Southeast","FL","full-year","all_sports","churn","age",2016,"25-34",0.60494287015,"NONE",NA
"77","Southeast","FL","full-year","all_sports","churn","age",2017,"25-34",0.59789835483,"NONE",NA
"78","Southeast","FL","full-year","all_sports","churn","age",2018,"25-34",0.5882779071,"NONE",NA
"79","Southeast","FL","full-year","all_sports","participants","age",2010,"25-34",234470.792072746,"NONE",NA
"80","Southeast","FL","full-year","all_sports","participants","age",2011,"25-34",261592.452714343,"NONE",NA
"81","Southeast","FL","full-year","all_sports","participants","age",2012,"25-34",268187.147383408,"NONE",NA
"82","Southeast","FL","full-year","all_sports","participants","age",2013,"25-34",296353.875413992,"NONE",NA
"83","Southeast","FL","full-year","all_sports","participants","age",2014,"25-34",310660.326120212,"NONE",NA
"84","Southeast","FL","full-year","all_sports","participants","age",2015,"25-34",327415.849861503,"NONE",NA
"85","Southeast","FL","full-year","all_sports","participants","age",2016,"25-34",329281.821563121,"NONE",NA
"86","Southeast","FL","full-year","all_sports","participants","age",2017,"25-34",324951.837103823,"NONE",NA
"87","Southeast","FL","full-year","all_sports","participants","age",2018,"25-34",322165.628294615,"NONE",NA
"88","Southeast","FL","full-year","all_sports","participants - recruited","age",2014,"25-34",119806.818790345,"NONE",NA
"89","Southeast","FL","full-year","all_sports","participants - recruited","age",2015,"25-34",124236.932645582,"NONE",NA
"90","Southeast","FL","full-year","all_sports","participants - recruited","age",2016,"25-34",121391.18007224,"NONE",NA
"91","Southeast","FL","full-year","all_sports","participants - recruited","age",2017,"25-34",114813.038452523,"NONE",NA
"92","Southeast","FL","full-year","all_sports","participants - recruited","age",2018,"25-34",110618.046185138,"NONE",NA
"93","Southeast","FL","full-year","fish","churn","age",2010,"25-34",0.61765734722,"NONE",NA
"94","Southeast","FL","full-year","fish","churn","age",2011,"25-34",0.61904805363,"NONE",NA
"95","Southeast","FL","full-year","fish","churn","age",2012,"25-34",0.62787812503,"NONE",NA
"96","Southeast","FL","full-year","fish","churn","age",2013,"25-34",0.6118992513,"NONE",NA
"97","Southeast","FL","full-year","fish","churn","age",2014,"25-34",0.62347694945,"NONE",NA
"98","Southeast","FL","full-year","fish","churn","age",2015,"25-34",0.61490734641,"NONE",NA
"99","Southeast","FL","full-year","fish","churn","age",2016,"25-34",0.62026140158,"NONE",NA
"100","Southeast","FL","full-year","fish","churn","age",2017,"25-34",0.61263833879,"NONE",NA
"101","Southeast","FL","full-year","fish","churn","age",2018,"25-34",0.60250218041,"NONE",NA
"102","Southeast","FL","full-year","fish","participants","age",2010,"25-34",224556.194238319,"NONE",NA
"103","Southeast","FL","full-year","fish","participants","age",2011,"25-34",252444.087476446,"NONE",NA
"104","Southeast","FL","full-year","fish","participants","age",2012,"25-34",258775.44149635,"NONE",NA
"105","Southeast","FL","full-year","fish","participants","age",2013,"25-34",286746.717909309,"NONE",NA
"106","Southeast","FL","full-year","fish","participants","age",2014,"25-34",301310.946220964,"NONE",NA
"107","Southeast","FL","full-year","fish","participants","age",2015,"25-34",318737.677869066,"NONE",NA
"108","Southeast","FL","full-year","fish","participants","age",2016,"25-34",320904.438265315,"NONE",NA
"109","Southeast","FL","full-year","fish","participants","age",2017,"25-34",316766.310322649,"NONE",NA
"110","Southeast","FL","full-year","fish","participants","age",2018,"25-34",314023.309354984,"NONE",NA
"111","Southeast","FL","full-year","fish","participants - recruited","age",2014,"25-34",119302.61726948,"NONE",NA
"112","Southeast","FL","full-year","fish","participants - recruited","age",2015,"25-34",123801.420395156,"NONE",NA
"113","Southeast","FL","full-year","fish","participants - recruited","age",2016,"25-34",121065.674423458,"NONE",NA
"114","Southeast","FL","full-year","fish","participants - recruited","age",2017,"25-34",114409.281800656,"NONE",NA
"115","Southeast","FL","full-year","fish","participants - recruited","age",2018,"25-34",110147.207567901,"NONE",NA
"116","Southeast","FL","full-year","hunt","churn","age",2010,"25-34",0.41361131896,"NONE",NA
"117","Southeast","FL","full-year","hunt","churn","age",2011,"25-34",0.43081273988,"NONE",NA
"118","Southeast","FL","full-year","hunt","churn","age",2012,"25-34",0.42843579397,"NONE",NA
"119","Southeast","FL","full-year","hunt","churn","age",2013,"25-34",0.42017515407,"NONE",NA
"120","Southeast","FL","full-year","hunt","churn","age",2014,"25-34",0.44096371485,"NONE",NA
"121","Southeast","FL","full-year","hunt","churn","age",2015,"25-34",0.44179198353,"NONE",NA
"122","Southeast","FL","full-year","hunt","churn","age",2016,"25-34",0.40701635836,"NONE",NA
"123","Southeast","FL","full-year","hunt","churn","age",2017,"25-34",0.41197608152,"NONE",NA
"124","Southeast","FL","full-year","hunt","churn","age",2018,"25-34",0.39665749341,"NONE",NA
"125","Southeast","FL","full-year","hunt","participants","age",2010,"25-34",30621.9800077325,"NONE",NA
"126","Southeast","FL","full-year","hunt","participants","age",2011,"25-34",30530.1641835256,"NONE",NA
"127","Southeast","FL","full-year","hunt","participants","age",2012,"25-34",31928.5583506903,"NONE",NA
"128","Southeast","FL","full-year","hunt","participants","age",2013,"25-34",35510.1968905858,"NONE",NA
"129","Southeast","FL","full-year","hunt","participants","age",2014,"25-34",36294.169572578,"NONE",NA
"130","Southeast","FL","full-year","hunt","participants","age",2015,"25-34",37304.7036759798,"NONE",NA
"131","Southeast","FL","full-year","hunt","participants","age",2016,"25-34",37772.6140618441,"NONE",NA
"132","Southeast","FL","full-year","hunt","participants","age",2017,"25-34",36661.5939044358,"NONE",NA
"133","Southeast","FL","full-year","hunt","participants","age",2018,"25-34",37781.3819247617,"NONE",NA
"134","Southeast","FL","full-year","hunt","participants - recruited","age",2014,"25-34",11155.6131529012,"NONE",NA
"135","Southeast","FL","full-year","hunt","participants - recruited","age",2015,"25-34",11410.3509489684,"NONE",NA
"136","Southeast","FL","full-year","hunt","participants - recruited","age",2016,"25-34",10079.3985818207,"NONE",NA
"137","Southeast","FL","full-year","hunt","participants - recruited","age",2017,"25-34",9599.24163802701,"NONE",NA
"138","Southeast","FL","full-year","hunt","participants - recruited","age",2018,"25-34",9949.67898383372,"NONE",NA
"139","Southeast","FL","full-year","all_sports","churn","age",2010,"35-44",0.53225222645,"NONE",NA
"140","Southeast","FL","full-year","all_sports","churn","age",2011,"35-44",0.53740571243,"NONE",NA
"141","Southeast","FL","full-year","all_sports","churn","age",2012,"35-44",0.54849881378,"NONE",NA
"142","Southeast","FL","full-year","all_sports","churn","age",2013,"35-44",0.53574712096,"NONE",NA
"143","Southeast","FL","full-year","all_sports","churn","age",2014,"35-44",0.5504855026,"NONE",NA
"144","Southeast","FL","full-year","all_sports","churn","age",2015,"35-44",0.54357166185,"NONE",NA
"145","Southeast","FL","full-year","all_sports","churn","age",2017,"35-44",0.54247020181,"NONE",NA
"146","Southeast","FL","full-year","all_sports","churn","age",2018,"35-44",0.53179641836,"NONE",NA
"147","Southeast","FL","full-year","all_sports","participants","age",2010,"35-44",283355.094220157,"NONE",NA
"148","Southeast","FL","full-year","all_sports","participants","age",2011,"35-44",302344.340878796,"NONE",NA
"149","Southeast","FL","full-year","all_sports","participants","age",2012,"35-44",303857.624144673,"NONE",NA
"150","Southeast","FL","full-year","all_sports","participants","age",2013,"35-44",321879.3744245,"NONE",NA
"151","Southeast","FL","full-year","all_sports","participants","age",2014,"35-44",327770.267270232,"NONE",NA
"152","Southeast","FL","full-year","all_sports","participants","age",2015,"35-44",339738.674667741,"NONE",NA
"153","Southeast","FL","full-year","all_sports","participants","age",2016,"35-44",336284.791043412,"NONE",NA
"154","Southeast","FL","full-year","all_sports","participants","age",2017,"35-44",336509.544278441,"NONE",NA
"155","Southeast","FL","full-year","all_sports","participants","age",2018,"35-44",339895.959711825,"NONE",NA
"156","Southeast","FL","full-year","all_sports","participants - recruited","age",2014,"35-44",108551.118995314,"NONE",NA
"157","Southeast","FL","full-year","all_sports","participants - recruited","age",2015,"35-44",111586.634398917,"NONE",NA
"158","Southeast","FL","full-year","all_sports","participants - recruited","age",2016,"35-44",106516.532764434,"NONE",NA
"159","Southeast","FL","full-year","all_sports","participants - recruited","age",2017,"35-44",103376.172537468,"NONE",NA
"160","Southeast","FL","full-year","all_sports","participants - recruited","age",2018,"35-44",101519.218169284,"NONE",NA
"161","Southeast","FL","full-year","fish","churn","age",2010,"35-44",0.55930508843,"NONE",NA
"162","Southeast","FL","full-year","fish","churn","age",2011,"35-44",0.56075353456,"NONE",NA
"163","Southeast","FL","full-year","fish","churn","age",2012,"35-44",0.56851421312,"NONE",NA
"164","Southeast","FL","full-year","fish","churn","age",2013,"35-44",0.55355081494,"NONE",NA
"165","Southeast","FL","full-year","fish","churn","age",2014,"35-44",0.56674828339,"NONE",NA
"166","Southeast","FL","full-year","fish","churn","age",2015,"35-44",0.55761065037,"NONE",NA
"167","Southeast","FL","full-year","fish","churn","age",2017,"35-44",0.55372150674,"NONE",NA
"168","Southeast","FL","full-year","fish","churn","age",2018,"35-44",0.54202608461,"NONE",NA
"169","Southeast","FL","full-year","fish","participants","age",2010,"35-44",270765.47775318,"NONE",NA
"170","Southeast","FL","full-year","fish","participants","age",2011,"35-44",291132.098384971,"NONE",NA
"171","Southeast","FL","full-year","fish","participants","age",2012,"35-44",293020.644765279,"NONE",NA
"172","Southeast","FL","full-year","fish","participants","age",2013,"35-44",311730.407592721,"NONE",NA
"173","Southeast","FL","full-year","fish","participants","age",2014,"35-44",318397.124843438,"NONE",NA
"174","Southeast","FL","full-year","fish","participants","age",2015,"35-44",331505.403746959,"NONE",NA
"175","Southeast","FL","full-year","fish","participants","age",2016,"35-44",328725.022688152,"NONE",NA
"176","Southeast","FL","full-year","fish","participants","age",2017,"35-44",329375.387657921,"NONE",NA
"177","Southeast","FL","full-year","fish","participants","age",2018,"35-44",333149.823525631,"NONE",NA
"178","Southeast","FL","full-year","fish","participants - recruited","age",2014,"35-44",108299.692997879,"NONE",NA
"179","Southeast","FL","full-year","fish","participants - recruited","age",2015,"35-44",111447.58734863,"NONE",NA
"180","Southeast","FL","full-year","fish","participants - recruited","age",2016,"35-44",106277.094524229,"NONE",NA
"181","Southeast","FL","full-year","fish","participants - recruited","age",2017,"35-44",103205.566502443,"NONE",NA
"182","Southeast","FL","full-year","fish","participants - recruited","age",2018,"35-44",101193.191414307,"NONE",NA
"183","Southeast","FL","full-year","hunt","churn","age",2010,"35-44",0.36138245649,"NONE",NA
"184","Southeast","FL","full-year","hunt","churn","age",2011,"35-44",0.37130099145,"NONE",NA
"185","Southeast","FL","full-year","hunt","churn","age",2012,"35-44",0.37882061551,"NONE",NA
"186","Southeast","FL","full-year","hunt","churn","age",2013,"35-44",0.36897347793,"NONE",NA
"187","Southeast","FL","full-year","hunt","churn","age",2014,"35-44",0.38863618642,"NONE",NA
"188","Southeast","FL","full-year","hunt","churn","age",2015,"35-44",0.38240588978,"NONE",NA
"189","Southeast","FL","full-year","hunt","churn","age",2017,"35-44",0.36452694674,"NONE",NA
"190","Southeast","FL","full-year","hunt","churn","age",2018,"35-44",0.34671211788,"NONE",NA
"191","Southeast","FL","full-year","hunt","participants","age",2010,"35-44",40866.7653870618,"NONE",NA
"192","Southeast","FL","full-year","hunt","participants","age",2011,"35-44",39289.3015188757,"NONE",NA
"193","Southeast","FL","full-year","hunt","participants","age",2012,"35-44",38579.3920103768,"NONE",NA
"194","Southeast","FL","full-year","hunt","participants","age",2013,"35-44",39849.0200960071,"NONE",NA
"195","Southeast","FL","full-year","hunt","participants","age",2014,"35-44",38617.4197776498,"NONE",NA
"196","Southeast","FL","full-year","hunt","participants - recruited","age",2014,"35-44",9049.07208129432,"NONE",NA
"197","Southeast","FL","full-year","all_sports","churn","age",2016,"35-44",0.54302093183,"NONE",NA
"198","Southeast","FL","full-year","fish","churn","age",2016,"35-44",0.555666078555,"NONE",NA
"199","Southeast","FL","full-year","hunt","churn","age",2016,"35-44",0.37346641826,"NONE",NA
"200","Southeast","FL","full-year","hunt","participants","age",2015,"35-44",37951.3220352794,"NONE",NA
"201","Southeast","FL","full-year","hunt","participants","age",2016,"35-44",37425.6965153071,"NONE",NA
"202","Southeast","FL","full-year","hunt","participants","age",2017,"35-44",36900.0709953348,"NONE",NA
"203","Southeast","FL","full-year","hunt","participants","age",2018,"35-44",36374.4454753622,"NONE",NA
"204","Southeast","FL","full-year","hunt","participants - recruited","age",2015,"35-44",8892.98794831488,"NONE",NA
"205","Southeast","FL","full-year","hunt","participants - recruited","age",2016,"35-44",8769.820133236,"NONE",NA
"206","Southeast","FL","full-year","hunt","participants - recruited","age",2017,"35-44",8646.65231815712,"NONE",NA
"207","Southeast","FL","full-year","hunt","participants - recruited","age",2018,"35-44",8523.48450307818,"NONE",NA
"208","Southeast","FL","full-year","all_sports","churn","age",2010,"45-54",0.49764857785,"NONE",NA
"209","Southeast","FL","full-year","all_sports","churn","age",2011,"45-54",0.5030734653,"NONE",NA
"210","Southeast","FL","full-year","all_sports","churn","age",2012,"45-54",0.51469333214,"NONE",NA
"211","Southeast","FL","full-year","all_sports","churn","age",2013,"45-54",0.49741012604,"NONE",NA
"212","Southeast","FL","full-year","all_sports","churn","age",2014,"45-54",0.51005271223,"NONE",NA
"213","Southeast","FL","full-year","all_sports","churn","age",2015,"45-54",0.49793604463,"NONE",NA
"214","Southeast","FL","full-year","all_sports","churn","age",2017,"45-54",0.49523926056,"NONE",NA
"215","Southeast","FL","full-year","all_sports","churn","age",2018,"45-54",0.48570343097,"NONE",NA
"216","Southeast","FL","full-year","all_sports","participants","age",2010,"45-54",340705.75934774,"NONE",NA
"217","Southeast","FL","full-year","all_sports","participants","age",2011,"45-54",367115.335450633,"NONE",NA
"218","Southeast","FL","full-year","all_sports","participants","age",2012,"45-54",368746.334213011,"NONE",NA
"219","Southeast","FL","full-year","all_sports","participants","age",2013,"45-54",393974.619953388,"NONE",NA
"220","Southeast","FL","full-year","all_sports","participants","age",2014,"45-54",400570.920715935,"NONE",NA
"221","Southeast","FL","full-year","all_sports","participants","age",2015,"45-54",425414.724585179,"NONE",NA
"222","Southeast","FL","full-year","all_sports","participants","age",2016,"45-54",418884.266913485,"NONE",NA
"223","Southeast","FL","full-year","all_sports","participants","age",2017,"45-54",410323.191113202,"NONE",NA
"224","Southeast","FL","full-year","all_sports","participants","age",2018,"45-54",401223.325626242,"NONE",NA
"225","Southeast","FL","full-year","all_sports","participants - recruited","age",2014,"45-54",114564.608704123,"NONE",NA
"226","Southeast","FL","full-year","all_sports","participants - recruited","age",2015,"45-54",122143.919093427,"NONE",NA
"227","Southeast","FL","full-year","all_sports","participants - recruited","age",2016,"45-54",111436.846953813,"NONE",NA
"228","Southeast","FL","full-year","all_sports","participants - recruited","age",2017,"45-54",106584.324264897,"NONE",NA
"229","Southeast","FL","full-year","all_sports","participants - recruited","age",2018,"45-54",100983.574473534,"NONE",NA
"230","Southeast","FL","full-year","fish","churn","age",2010,"45-54",0.51499157698,"NONE",NA
"231","Southeast","FL","full-year","fish","churn","age",2011,"45-54",0.5184672135,"NONE",NA
"232","Southeast","FL","full-year","fish","churn","age",2012,"45-54",0.52875740809,"NONE",NA
"233","Southeast","FL","full-year","fish","churn","age",2013,"45-54",0.50991377816,"NONE",NA
"234","Southeast","FL","full-year","fish","churn","age",2014,"45-54",0.52161599784,"NONE",NA
"235","Southeast","FL","full-year","fish","churn","age",2015,"45-54",0.50810691501,"NONE",NA
"236","Southeast","FL","full-year","fish","churn","age",2017,"45-54",0.50401463667,"NONE",NA
"237","Southeast","FL","full-year","fish","churn","age",2018,"45-54",0.49372526381,"NONE",NA
"238","Southeast","FL","full-year","fish","participants","age",2010,"45-54",329168.265798872,"NONE",NA
"239","Southeast","FL","full-year","fish","participants","age",2011,"45-54",356186.638284038,"NONE",NA
"240","Southeast","FL","full-year","fish","participants","age",2012,"45-54",357993.020241769,"NONE",NA
"241","Southeast","FL","full-year","fish","participants","age",2013,"45-54",383762.167089232,"NONE",NA
"242","Southeast","FL","full-year","fish","participants","age",2014,"45-54",390769.696549046,"NONE",NA
"243","Southeast","FL","full-year","fish","participants","age",2015,"45-54",416518.655090323,"NONE",NA
"244","Southeast","FL","full-year","fish","participants","age",2016,"45-54",410527.331502622,"NONE",NA
"245","Southeast","FL","full-year","fish","participants","age",2017,"45-54",402433.526591224,"NONE",NA
"246","Southeast","FL","full-year","fish","participants","age",2018,"45-54",393600.227758617,"NONE",NA
"247","Southeast","FL","full-year","fish","participants - recruited","age",2014,"45-54",114266.483897075,"NONE",NA
"248","Southeast","FL","full-year","fish","participants - recruited","age",2015,"45-54",122118.266316125,"NONE",NA
"249","Southeast","FL","full-year","fish","participants - recruited","age",2016,"45-54",111180.442411996,"NONE",NA
"250","Southeast","FL","full-year","fish","participants - recruited","age",2017,"45-54",106345.480849418,"NONE",NA
"251","Southeast","FL","full-year","fish","participants - recruited","age",2018,"45-54",100809.941631166,"NONE",NA
"252","Southeast","FL","full-year","hunt","churn","age",2010,"45-54",0.33320802594,"NONE",NA
"253","Southeast","FL","full-year","hunt","churn","age",2011,"45-54",0.33133704735,"NONE",NA
"254","Southeast","FL","full-year","hunt","churn","age",2012,"45-54",0.34550594342,"NONE",NA
"255","Southeast","FL","full-year","hunt","churn","age",2013,"45-54",0.33066356228,"NONE",NA
"256","Southeast","FL","full-year","hunt","churn","age",2014,"45-54",0.34473205975,"NONE",NA
"257","Southeast","FL","full-year","hunt","churn","age",2015,"45-54",0.33775178394,"NONE",NA
"258","Southeast","FL","full-year","hunt","churn","age",2017,"45-54",0.33128676942,"NONE",NA
"259","Southeast","FL","full-year","hunt","churn","age",2018,"45-54",0.30172890187,"NONE",NA
"260","Southeast","FL","full-year","hunt","participants","age",2010,"45-54",44414.3457926441,"NONE",NA
"261","Southeast","FL","full-year","hunt","participants","age",2011,"45-54",44677.7083065482,"NONE",NA
"262","Southeast","FL","full-year","hunt","participants","age",2012,"45-54",44480.4275433717,"NONE",NA
"263","Southeast","FL","full-year","hunt","participants","age",2013,"45-54",46735.8273275293,"NONE",NA
"264","Southeast","FL","full-year","hunt","participants","age",2014,"45-54",45950.3403668604,"NONE",NA
"265","Southeast","FL","full-year","hunt","participants - recruited","age",2014,"45-54",8237.43740637172,"NONE",NA
"266","Southeast","FL","full-year","all_sports","churn","age",2016,"45-54",0.496587652595,"NONE",NA
"267","Southeast","FL","full-year","fish","churn","age",2016,"45-54",0.50606077584,"NONE",NA
"268","Southeast","FL","full-year","hunt","churn","age",2016,"45-54",0.33451927668,"NONE",NA
"269","Southeast","FL","full-year","hunt","participants","age",2015,"45-54",46748.6555935568,"NONE",NA
"270","Southeast","FL","full-year","hunt","participants","age",2016,"45-54",47243.620671359,"NONE",NA
"271","Southeast","FL","full-year","hunt","participants","age",2017,"45-54",47738.5857491611,"NONE",NA
"272","Southeast","FL","full-year","hunt","participants","age",2018,"45-54",48233.5508269633,"NONE",NA
"273","Southeast","FL","full-year","hunt","participants - recruited","age",2015,"45-54",8380.54998525498,"NONE",NA
"274","Southeast","FL","full-year","hunt","participants - recruited","age",2016,"45-54",8469.28151181569,"NONE",NA
"275","Southeast","FL","full-year","hunt","participants - recruited","age",2017,"45-54",8558.01303837637,"NONE",NA
"276","Southeast","FL","full-year","hunt","participants - recruited","age",2018,"45-54",8646.74456493707,"NONE",NA
"277","Southeast","FL","full-year","all_sports","churn","age",2010,"55-64",0.49042692611,"NONE",NA
"278","Southeast","FL","full-year","all_sports","churn","age",2011,"55-64",0.49344621055,"NONE",NA
"279","Southeast","FL","full-year","all_sports","churn","age",2012,"55-64",0.50548344762,"NONE",NA
"280","Southeast","FL","full-year","all_sports","churn","age",2013,"55-64",0.48694682623,"NONE",NA
"281","Southeast","FL","full-year","all_sports","churn","age",2014,"55-64",0.49709532115,"NONE",NA
"282","Southeast","FL","full-year","all_sports","churn","age",2015,"55-64",0.47702991132,"NONE",NA
"283","Southeast","FL","full-year","all_sports","churn","age",2017,"55-64",0.47204245304,"NONE",NA
"284","Southeast","FL","full-year","all_sports","churn","age",2018,"55-64",0.45986986516,"NONE",NA
"285","Southeast","FL","full-year","all_sports","participants","age",2010,"55-64",266999.503791698,"NONE",NA
"286","Southeast","FL","full-year","all_sports","participants","age",2011,"55-64",292915.403930322,"NONE",NA
"287","Southeast","FL","full-year","all_sports","participants","age",2012,"55-64",302519.787264258,"NONE",NA
"288","Southeast","FL","full-year","all_sports","participants","age",2013,"55-64",330695.614359897,"NONE",NA
"289","Southeast","FL","full-year","all_sports","participants","age",2014,"55-64",345722.038726486,"NONE",NA
